mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__colsample_bytree,param_clf__max_bin,param_clf__min_child_samples,param_clf__num_leaves,param_clf__reg_alpha,param_clf__reg_lambda,param_clf__subsample,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
11.94746117591858,1.7450522028224966,0.09338517189025879,0.0016910332589140738,,0.8,255,20,31,0.0,0.0,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 20, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0, 'clf__reg_lambda': 0.0, 'clf__subsample': 0.8}",0.8263070945018014,0.8182528718918134,0.8307320698625048,0.8350015349070169,0.8404516465606838,0.830149043544764,0.0075671618650157675,14,0.5451197053406999,0.5321100917431193,0.6126760563380281,0.5703971119133574,0.6045627376425855,0.5729731405955582,0.03170634857826469,17,0.7808340727595386,0.7737355811889973,0.8047914818101154,0.7888198757763976,0.8152753108348135,0.7926912644739724,0.015305900719731244,1
12.645432424545287,0.9775671495629779,0.09363846778869629,0.011205634946351945,,0.8,255,20,31,0.0,0.5,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 20, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0, 'clf__reg_lambda': 0.5, 'clf__subsample': 0.8}",0.8271472541321313,0.8189556977364161,0.8299868321134861,0.8385964487098703,0.8394931917354502,0.8308358848854709,0.007624185817619351,10,0.5531135531135531,0.5401459854014599,0.5899280575539568,0.572992700729927,0.5850860420650096,0.5682532677727814,0.01894640498591,18,0.7834960070984915,0.7763975155279503,0.7976929902395741,0.7923691215616682,0.8072824156305506,0.791447610011647,0.010773377924990515,4
11.504506731033326,0.3305442992011235,0.08707866668701172,0.003961182479245732,,0.8,255,20,31,0.5,0.0,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 20, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.5, 'clf__reg_lambda': 0.0, 'clf__subsample': 0.8}",0.8252043849869939,0.8229383775224985,0.8258446027822209,0.8415188308855605,0.839408265358531,0.8309828923071609,0.00782943544573354,9,0.5477941176470589,0.5318761384335154,0.597864768683274,0.5527272727272727,0.5817490494296578,0.5624022693841557,0.0239613650820206,25,0.7817213842058562,0.771960958296362,0.7994676131322094,0.7817213842058562,0.8046181172291297,0.7878978914138827,0.012195972546101476,11
10.063754224777222,0.7125411223034415,0.07489514350891113,0.004700482599305388,,0.8,255,20,31,0.5,0.5,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 20, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.5, 'clf__reg_lambda': 0.5, 'clf__subsample': 0.8}",0.8257819947328454,0.8208824099655858,0.8267009193285184,0.8383944872602718,0.8401887792035524,0.8303897180981548,0.007554140411559692,11,0.5325884543761639,0.5474452554744526,0.5985663082437276,0.5636363636363636,0.5882352941176471,0.566094335169671,0.024580988359885318,21,0.7772848269742679,0.7799467613132209,0.8012422360248447,0.7870452528837621,0.8072824156305506,0.7905602985653293,0.011789604337232326,6
18.062584829330444,0.17084343431617863,0.07828969955444336,0.006136222140464963,,0.8,255,20,63,0.0,0.0,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 20, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0, 'clf__reg_lambda': 0.0, 'clf__subsample': 0.8}",0.8179216551144717,0.8150376456142052,0.8216195692566203,0.8296313799621928,0.8304950398951767,0.8229410579685335,0.006184298110481427,28,0.5261194029850746,0.5333333333333333,0.5886654478976234,0.5421903052064632,0.5655430711610487,0.5511703121167086,0.022973061591019677,32,0.774622892635315,0.7763975155279503,0.8003549245785271,0.7737355811889973,0.7939609236234458,0.7838143675108471,0.011114112348726156,16
19.67687554359436,1.301354546529352,0.08702497482299805,0.010905683826362806,,0.8,255,20,63,0.0,0.5,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 20, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0, 'clf__reg_lambda': 0.5, 'clf__subsample': 0.8}",0.8193111498877093,0.8170209070492624,0.8215872554246845,0.8287225534389995,0.8296943054842219,0.8232672342569755,0.005070646663639099,25,0.5227272727272727,0.5481481481481482,0.5944954128440367,0.5513513513513514,0.5805243445692884,0.5594493059280194,0.0253542407560864,28,0.7763975155279503,0.7834960070984915,0.8039041703637977,0.7790594498669032,0.8010657193605684,0.7887845724435422,0.01144914776249666,8
21.236678504943846,2.057016934047457,0.0949923038482666,0.011261121435819983,,0.8,255,20,63,0.5,0.0,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 20, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.5, 'clf__reg_lambda': 0.0, 'clf__subsample': 0.8}",0.8157889422067117,0.814815488019647,0.8165220622687543,0.8335797263018435,0.8347332705147753,0.8230878978623464,0.009061025146509324,27,0.5308411214953271,0.5238095238095238,0.5919117647058824,0.5627240143369175,0.5951035781544256,0.5608780005004153,0.029712551281050388,27,0.7772848269742679,0.769299023957409,0.80301685891748,0.7834960070984915,0.8090586145648313,0.7884310663024959,0.015184660670068741,9
26.458159494400025,1.4350106959490603,0.09453201293945312,0.028965577115472055,,0.8,255,20,63,0.5,0.5,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 20, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.5, 'clf__reg_lambda': 0.5, 'clf__subsample': 0.8}",0.8153850193075146,0.8150255279272292,0.8173299080671481,0.8315055822144669,0.8366542242784292,0.8231800523589575,0.009081307763821121,26,0.5255474452554745,0.5355191256830601,0.5897435897435898,0.5657657657657658,0.5973534971644613,0.5627858847224703,0.02849805222617131,23,0.769299023957409,0.7737355811889973,0.8012422360248447,0.7861579414374446,0.8108348134991119,0.7882539192215615,0.015830707352046267,10
13.679954671859742,0.9549014314156606,0.09057769775390626,0.010035851760753965,,0.8,255,50,31,0.0,0.0,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 50, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0, 'clf__reg_lambda': 0.0, 'clf__subsample': 0.8}",0.8243945195741037,0.8184265587384681,0.8274037451731214,0.83268099785113,0.8431470479995794,0.8292105738672806,0.008354916457406757,15,0.5330882352941176,0.5231910946196661,0.5822784810126582,0.5480943738656987,0.5958254269449715,0.5564955223474224,0.028068728658301206,30,0.774622892635315,0.771960958296362,0.7950310559006211,0.7790594498669032,0.8108348134991119,0.7863018340396626,0.014646343662309736,13
14.002048778533936,1.1337306629502146,0.08745331764221191,0.010667524814400656,,0.8,255,50,31,0.0,0.5,0.8,"{'clf__class_weight': None, 'clf__colsample_bytree': 0.8, 'clf__max_bin': 255, 'clf__min_child_samples': 50, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0, 'clf__reg_lambda': 0.5, 'clf__subsample': 0.8}",0.8198382692711615,0.8189031877595204,0.825174090769554,0.8363142843294072,0.8422917180606051,0.8285043100380497,0.00926779898755891,16,0.5241635687732342,0.5328330206378987,0.6017699115044248,0.5583941605839416,0.5962264150943396,0.5626774153187678,0.03176825202837176,24,0.7728482697426797,0.7790594498669032,0.8003549245785271,0.7852706299911268,0.8099467140319716,0.7894959976422417,0.01371182118124807,7
