mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__bootstrap,param_clf__criterion,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
4.440803480148316,1.1757863603035406,1.8865911483764648,0.8776114223946346,True,gini,sqrt,1,2,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.8149568610343658,0.8077751118866431,0.8259920346404279,0.816419061929459,0.8427588131336621,0.8215803765249117,0.012075465722351436,34,0.512241054613936,0.5183752417794971,0.5757009345794393,0.5265151515151515,0.5518590998043053,0.5369382964584658,0.023615059563057105,35,0.7701863354037267,0.7790594498669032,0.7985803016858918,0.7781721384205856,0.7966252220248667,0.7845246894803948,0.011133690034839343,17
4.020464372634888,1.0229611514820909,2.218674659729004,0.7394221631632981,True,gini,sqrt,1,5,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.8267069781720066,0.8235886933902057,0.8329435477356084,0.8304796180505065,0.8515365608052639,0.8330510796307182,0.00977876647338017,30,0.5993377483443708,0.5699481865284974,0.63,0.6056572379367721,0.6156521739130435,0.6041190693445367,0.019978544982722172,32,0.7852706299911268,0.7790594498669032,0.80301685891748,0.7897071872227152,0.8037300177619894,0.792156828752043,0.009765661981781889,2
3.835551118850708,1.263434323888532,2.2558560371398926,0.8799711160725406,True,gini,sqrt,1,10,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10}",0.8344198859321732,0.8281287867771799,0.8412744575315463,0.8411108687573715,0.8544240576205246,0.839871611323759,0.008750916155085893,19,0.6374622356495468,0.5808477237048666,0.6282245827010622,0.6301369863013698,0.6293929712460063,0.6212128999205704,0.020440669962568474,20,0.7870452528837621,0.7630878438331854,0.782608695652174,0.7843833185448092,0.7939609236234458,0.7822172069074753,0.010315064177645534,18
3.4107852458953856,0.9887197275825169,2.3518536567687987,0.6241594878065762,True,gini,sqrt,2,2,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.8318792108962241,0.8264888598064402,0.8386731940607176,0.8361264601812805,0.8529196475150947,0.8372174744919514,0.008870940205247056,28,0.6190476190476191,0.5741935483870968,0.6325878594249201,0.6170886075949367,0.6303630363036303,0.6146561341516407,0.02112191496946033,27,0.7870452528837621,0.7657497781721384,0.7959183673469388,0.7852706299911268,0.8010657193605684,0.787009949550907,0.012099139956887838,5
3.626471424102783,0.6500849279980273,1.9428536891937256,0.5776992150114519,True,gini,sqrt,2,5,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.8308088152133521,0.8269291357665649,0.839038744284491,0.83864693907227,0.8531542060799198,0.8377155680833195,0.009000223860540411,27,0.628482972136223,0.5751211631663974,0.6317460317460317,0.6242236024844721,0.6282894736842105,0.617572648643467,0.02135946671828484,23,0.7870452528837621,0.7666370896184561,0.7941437444543035,0.7852706299911268,0.7992895204262878,0.7864772474747873,0.011120610898519205,8
4.689497327804565,0.3127936658042991,1.0815844535827637,0.26640461239750807,True,gini,sqrt,2,10,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}",0.8355912623398446,0.830826991743816,0.8418157142164704,0.8428638941398866,0.8553703801061984,0.8412936485092433,0.00828203728880937,16,0.6348733233979136,0.577639751552795,0.6348733233979136,0.6409495548961425,0.6386292834890965,0.6253930473467723,0.02398887826284404,15,0.782608695652174,0.7586512866015972,0.782608695652174,0.7852706299911268,0.7939609236234458,0.7806200463041036,0.011748555584456985,20
3.83416690826416,0.9953057384805313,1.8584023475646974,0.8080848265231969,True,gini,sqrt,4,2,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2}",0.8385843310228943,0.8312632284749488,0.8438636033153992,0.8469435154217763,0.8564703788929644,0.8434250114255967,0.008415402508203206,11,0.6374269005847953,0.5875190258751902,0.6202898550724638,0.6415094339622641,0.6425339366515838,0.6258558304292594,0.020773901224205922,12,0.7799467613132209,0.7595385980479148,0.7675244010647737,0.7808340727595386,0.7895204262877442,0.7754728518946384,0.010612928127754077,33
3.0538193702697756,0.2485367227859154,2.1636966705322265,0.1288148046478983,True,gini,sqrt,4,5,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5}",0.8385843310228943,0.8312632284749488,0.8438636033153992,0.8469435154217763,0.8564703788929644,0.8434250114255967,0.008415402508203206,11,0.6374269005847953,0.5875190258751902,0.6202898550724638,0.6415094339622641,0.6425339366515838,0.6258558304292594,0.020773901224205922,12,0.7799467613132209,0.7595385980479148,0.7675244010647737,0.7808340727595386,0.7895204262877442,0.7754728518946384,0.010612928127754077,33
4.144951820373535,0.3890696253972067,1.4822288036346436,0.3788293610114986,True,gini,sqrt,4,10,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10}",0.8381400158337776,0.8315540529623706,0.8436616418658007,0.8471333591843989,0.8574490542841313,0.8435876248260957,0.008708619096211947,10,0.6357039187227866,0.5921450151057401,0.6257142857142857,0.6404657933042213,0.6475037821482602,0.6283065589990589,0.01941895169128172,8,0.7772848269742679,0.7604259094942325,0.7675244010647737,0.7808340727595386,0.7930728241563055,0.7758284068898236,0.011231573495159049,30
4.369510364532471,0.8665745079451476,1.7942697048187255,0.6256718048722091,True,gini,log2,1,2,"{'clf__bootstrap': True, 'clf__criterion': 'gini', 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.8148679979965425,0.8087849191346356,0.8242713230898486,0.8167886513822242,0.8409713151051673,0.8211368413416837,0.01108157443978366,35,0.5121495327102804,0.5220729366602687,0.5757575757575758,0.5279383429672447,0.541501976284585,0.5358840728759909,0.022084689606085724,36,0.7684117125110914,0.7790594498669032,0.8012422360248447,0.782608695652174,0.7939609236234458,0.7850566035356918,0.011491493529156049,15
