mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__gamma,param_clf__max_depth,param_clf__min_child_weight,param_clf__reg_alpha,param_clf__reg_lambda,param_clf__scale_pos_weight,param_clf__subsample,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
1.3734275817871093,0.12457009655308297,0.11899871826171875,0.019076603800040535,0.7,0.0,3,1,0.0,1.0,1.0,0.7,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.0, 'clf__subsample': 0.7}",0.8376654064272212,0.8257133278399817,0.8395173929200394,0.8568981952724863,0.8500402389262072,0.8419669122771871,0.010740613760704612,452,0.5687732342007435,0.5353159851301115,0.6,0.6014492753623188,0.5902912621359223,0.5791659513658193,0.02484030901378534,819,0.7941437444543035,0.7781721384205856,0.808340727595386,0.8047914818101154,0.8126110124333925,0.7996118209427566,0.012341487143747661,186
1.17075834274292,0.0835401801703721,0.12597064971923827,0.023605576663782536,0.7,0.0,3,1,0.0,1.0,1.0,0.9,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.0, 'clf__subsample': 0.9}",0.8374594057486306,0.8278218053737902,0.8401717480167387,0.8592631638472848,0.8510249804871539,0.8431482206947198,0.010934859389323209,246,0.5740740740740741,0.5387453874538746,0.5981651376146789,0.6014492753623188,0.5895953757225434,0.580405850045498,0.02288384127063861,779,0.7959183673469388,0.7781721384205856,0.805678793256433,0.8047914818101154,0.8108348134991119,0.7990791188666369,0.011501959226863938,222
1.1697816371917724,0.12002041174150602,0.10334882736206055,0.009492367904024652,0.7,0.0,3,1,0.0,1.0,2.768561872909699,0.7,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 2.768561872909699, 'clf__subsample': 0.7}",0.8408725542468454,0.8247237167369493,0.8409472799831968,0.8598892443410403,0.8480020058801406,0.8428869602376345,0.011427729101691299,302,0.6335570469798658,0.5892116182572614,0.6277173913043478,0.6452476572958501,0.6346153846153846,0.626069819690542,0.01927753206559994,237,0.7577639751552795,0.7364685004436557,0.7568766637089619,0.7648624667258208,0.7637655417406749,0.7559474295548785,0.010239069872410031,1218
1.049189805984497,0.02741916168245452,0.11158413887023926,0.013475167539248866,0.7,0.0,3,1,0.0,1.0,2.768561872909699,0.9,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 2.768561872909699, 'clf__subsample': 0.9}",0.8386267429273101,0.8250145412243711,0.8400748065209312,0.8585441810867143,0.8489382180828478,0.8422396979684349,0.011181704391045936,416,0.6346666666666667,0.5934065934065934,0.628032345013477,0.6443850267379679,0.636734693877551,0.6274450651404513,0.01780097460942983,190,0.7568766637089619,0.7373558118899733,0.7551020408163265,0.7639751552795031,0.7628774422735346,0.75523742279366,0.00956216831284676,1259
1.2482409477233887,0.10940008249947607,0.12818918228149415,0.015502269037628417,0.7,0.0,3,1,0.0,2.0,1.0,0.7,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.0, 'clf__subsample': 0.7}",0.8398789039148208,0.8265777228442637,0.8381077020018418,0.8570052348407736,0.8513464874854918,0.8425832102174382,0.010661227838593211,363,0.5682242990654206,0.5353159851301115,0.5966850828729282,0.6025408348457351,0.5847953216374269,0.5775123047103244,0.024140677346533856,874,0.7950310559006211,0.7781721384205856,0.805678793256433,0.805678793256433,0.8108348134991119,0.7990791188666369,0.011651578481416682,222
1.0622129917144776,0.039773614990577015,0.10294547080993652,0.007160178216831037,0.7,0.0,3,1,0.0,2.0,1.0,0.9,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.0, 'clf__subsample': 0.9}",0.837011051330522,0.8284539447110335,0.8397274328276217,0.858285670431228,0.8510431789964938,0.8429042556593798,0.010549535919091375,297,0.5793357933579336,0.5471349353049908,0.608058608058608,0.5966850828729282,0.5945945945945946,0.585161802837811,0.021099821199393937,685,0.7976929902395741,0.782608695652174,0.8101153504880213,0.805678793256433,0.8134991119005328,0.801918988307347,0.011010560483305735,54
1.146962308883667,0.09906113088103766,0.12167706489562988,0.021500409626706463,0.7,0.0,3,1,0.0,2.0,2.768561872909699,0.7,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 2.768561872909699, 'clf__subsample': 0.7}",0.8401899245472024,0.8261495645711147,0.8413713990273535,0.8594671449113794,0.8477391385230091,0.8429834343160119,0.01084537655118312,282,0.6372155287817939,0.5983379501385041,0.628032345013477,0.6498002663115846,0.6347469220246238,0.6296266024539967,0.017159881172429264,88,0.7595385980479148,0.7426796805678794,0.7551020408163265,0.7666370896184561,0.7628774422735346,0.7573669702648222,0.008268769749682318,1146
1.1268654823303224,0.11284697719549742,0.10667300224304199,0.004194902253829539,0.7,0.0,3,1,0.0,2.0,2.768561872909699,0.9,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 2.768561872909699, 'clf__subsample': 0.9}",0.8391720388412259,0.8260324269303475,0.8427366584266396,0.8594489683809154,0.8499189155306078,0.8434618016219473,0.011135482212434414,195,0.6347941567065073,0.6063100137174211,0.6331521739130435,0.6451612903225806,0.6429548563611491,0.6324744982041403,0.01386515711952455,13,0.7559893522626442,0.7453416149068323,0.7604259094942325,0.7657497781721384,0.7682060390763765,0.7591425387824448,0.008097626508598653,1092
1.12472825050354,0.0647379228432782,0.11188726425170899,0.00620030499692197,0.7,0.0,3,1,0.5,1.0,1.0,0.7,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0.5, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.0, 'clf__subsample': 0.7}",0.8400041200135717,0.8266827427980548,0.8394244906532242,0.8576111191895691,0.852511192083244,0.8432467329475328,0.010878011212124792,228,0.5762081784386617,0.5360443622920518,0.6007326007326007,0.5963636363636363,0.5870841487279843,0.579286585310987,0.0232022657766516,815,0.7976929902395741,0.7772848269742679,0.8065661047027507,0.80301685891748,0.8126110124333925,0.799434358653493,0.012090942330934338,199
1.277531385421753,0.11568900476733848,0.12717032432556152,0.01586642498555763,0.7,0.0,3,1,0.5,1.0,1.0,0.9,"{'clf__colsample_bytree': 0.7, 'clf__gamma': 0, 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__reg_alpha': 0.5, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.0, 'clf__subsample': 0.9}",0.8372291696960884,0.8278359426752622,0.8398041781784692,0.858423004216955,0.8514597226547176,0.8429504034842985,0.01079711129384669,291,0.5730129390018485,0.5330882352941176,0.5977859778597786,0.5992647058823529,0.5891472868217055,0.5784598289719607,0.024530857353930968,843,0.7950310559006211,0.774622892635315,0.8065661047027507,0.8065661047027507,0.8117229129662522,0.7989018141815378,0.013313993191762106,231
